SPM (Spatial Population Model)
Call: spm -m -g 0 
Date: Thu Nov 19 15:36:51 2015
v1.1-2015-11-19 (rev. 1270). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=5832)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.16837e-009 -2.13186 8.24457e-006 6.38904e-006
-2.13186 4.28776e+009 -12428.3 -11631.5
8.24457e-006 -12428.3 0.131091 0.0662034
6.38904e-006 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-010 -0.589329 2.412e-006 1.86915e-006
-0.623688 4.28776e+009 -12428.3 -11631.5
2.412e-006 -12428.3 0.131091 0.0662034
1.86915e-006 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-005 0 0 0
-62368.8 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131526 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
127000 281.316 0 0 286.575 0.38763 0.405037 0.484267
128000 281.046 0 0 281.046 0.387688 0.404679 0.484267
129000 282.267 0 0 346.319 0.387217 0.402 0.484267
130000 280.322 0 0 282.945 0.387215 0.4015 0.484267
131000 281.664 0 0 285.599 0.387321 0.401484 0.484267
132000 282.23 0 0 285.658 0.388015 0.403906 0.484267
133000 282.912 0 0 294.457 0.388602 0.405788 0.484267
134000 282.35 0 0 297.654 0.388597 0.405265 0.484267
135000 280.415 0 0 280.415 0.388119 0.402943 0.484267
136000 280.485 0 0 317.602 0.387618 0.400639 0.484267
137000 280.309 0 0 284.453 0.387292 0.399081 0.484267
138000 281.482 0 0 281.482 0.387087 0.398026 0.484267
139000 284.6 0 0 300.171 0.387424 0.398949 0.484267
140000 284.983 0 0 284.983 0.386957 0.397025 0.484267
141000 285.685 0 0 285.685 0.386213 0.39422 0.484267
142000 284.999 0 0 294.61 0.385324 0.391024 0.484267
143000 279.954 0 0 279.954 0.38521 0.390512 0.484267
144000 280.856 0 0 280.856 0.385646 0.391818 0.484267
145000 282.368 0 0 282.368 0.386572 0.394667 0.484267
146000 280.794 0 0 280.794 0.386842 0.395348 0.484267
147000 281.514 0 0 286.559 0.386456 0.393957 0.484267
148000 281.302 0 0 282.65 0.386554 0.394104 0.484267
149000 280.288 0 0 285.036 0.386631 0.394184 0.484267
150000 279.851 0 0 282.1 0.387127 0.39552 0.484267
151000 279.83 0 0 281.055 0.387821 0.397412 0.484267
152000 279.888 0 0 280.276 0.388684 0.39975 0.484267
153000 280.361 0 0 280.361 0.388725 0.39966 0.484267
154000 279.745 0 0 312.126 0.388916 0.4 0.484267
155000 280.574 0 0 280.574 0.38969 0.401982 0.484267
156000 279.816 0 0 280.493 0.390474 0.403946 0.484267
157000 282.711 0 0 282.711 0.390796 0.404596 0.484267
158000 281.395 0 0 281.395 0.391728 0.406897 0.484267
159000 280.908 0 0 280.908 0.392377 0.40839 0.484267
160000 279.428 0 0 281.633 0.392469 0.408367 0.484267
161000 279.686 0 0 283.764 0.392081 0.407082 0.484267
162000 279.911 0 0 372.198 0.391932 0.406452 0.484267
163000 281.093 0 0 297.677 0.391374 0.404778 0.484267
164000 279.594 0 0 280.206 0.391183 0.404078 0.484267
165000 282.058 0 0 283.713 0.391976 0.405892 0.484267
166000 281.717 0 0 282.561 0.392952 0.408136 0.484267
167000 279.743 0 0 280.789 0.393491 0.409254 0.484267
168000 279.98 0 0 279.98 0.393613 0.409324 0.484267
169000 279.984 0 0 284.278 0.393728 0.409377 0.484267
170000 281.029 0 0 284.647 0.393882 0.409529 0.484267
171000 281.155 0 0 281.155 0.394404 0.410563 0.484267
172000 280.821 0 0 281.847 0.395064 0.411917 0.484267
173000 285.014 0 0 328.585 0.395792 0.413411 0.484267
174000 281.888 0 0 281.888 0.39619 0.414108 0.484267
175000 281.56 0 0 284.196 0.396577 0.414773 0.484267
176000 282.527 0 0 282.998 0.396205 0.413671 0.484267
177000 284.257 0 0 285.558 0.396186 0.413403 0.484267
178000 279.425 0 0 280.461 0.396011 0.412782 0.484267
179000 279.882 0 0 279.882 0.395866 0.412241 0.484267
180000 280.838 0 0 280.838 0.395922 0.412162 0.484267
181000 281.491 0 0 284.572 0.395939 0.412 0.484267
182000 280.112 0 0 280.112 0.396071 0.412098 0.484267
183000 280.887 0 0 282.961 0.395749 0.411193 0.484267
184000 283.36 0 0 284.95 0.395223 0.409857 0.484267
185000 280.417 0 0 314.184 0.395557 0.410412 0.484267
186000 282.545 0 0 282.545 0.395887 0.410953 0.484267
187000 281.824 0 0 281.824 0.396251 0.411563 0.484267
188000 281.552 0 0 281.552 0.397048 0.413091 0.484267
189000 280.058 0 0 280.058 0.397646 0.41418 0.484267
190000 281.412 0 0 281.412 0.397579 0.413856 0.484267
191000 282.005 0 0 283.18 0.398225 0.415033 0.484267
192000 282.72 0 0 283.401 0.398885 0.416228 0.484267
193000 280.471 0 0 286.97 0.398793 0.415849 0.484267
194000 281.844 0 0 285.625 0.398448 0.414957 0.484267
195000 281.646 0 0 283.68 0.398549 0.414989 0.484267
196000 279.868 0 0 285.176 0.398485 0.414687 0.484267
197000 281.941 0 0 287.339 0.398289 0.414124 0.484267
198000 282.469 0 0 282.469 0.397838 0.413051 0.484267
199000 283.675 0 0 290.173 0.397663 0.412545 0.484267
200000 281.643 0 0 283.062 0.397665 0.4124 0.484267
201000 280.755 0 0 282.5 0.398244 0.413406 0.484267
202000 281.529 0 0 283.16 0.398594 0.413951 0.484267
203000 279.723 0 0 286.224 0.39899 0.414583 0.484267
204000 281.872 0 0 291.91 0.398338 0.413154 0.484267
205000 281.988 0 0 281.988 0.397859 0.412076 0.484267
206000 282.63 0 0 286.818 0.398155 0.412519 0.484267
207000 282.071 0 0 284.531 0.398522 0.413093 0.484267
208000 280.681 0 0 282.722 0.39888 0.413648 0.484267
209000 280.007 0 0 280.007 0.399397 0.414505 0.484267
210000 280.432 0 0 281.747 0.399162 0.413918 0.484267
211000 283.63 0 0 283.63 0.399085 0.41364 0.484267
212000 280.91 0 0 282.357 0.399491 0.414277 0.484267
213000 279.707 0 0 280.193 0.40015 0.415389 0.484267
214000 280.221 0 0 289.764 0.400565 0.416035 0.484267
215000 280.573 0 0 280.926 0.400637 0.416035 0.484267
216000 280.911 0 0 281.205 0.400796 0.416198 0.484267
217000 280.199 0 0 280.798 0.400687 0.415863 0.484267
218000 280.434 0 0 280.434 0.400477 0.415347 0.484267
219000 280.228 0 0 281.337 0.400909 0.416017 0.484267
220000 279.979 0 0 281.772 0.401341 0.416683 0.484267
221000 284.101 0 0 285.647 0.401204 0.416306 0.484267
222000 281.736 0 0 285.613 0.401509 0.416738 0.484267
223000 280.048 0 0 281.14 0.401744 0.417041 0.484267
224000 282.364 0 0 282.707 0.402192 0.417726 0.484267
225000 279.996 0 0 281.026 0.402618 0.418368 0.484267
226000 284.78 0 0 286.004 0.40296 0.418857 0.484267
227000 281.088 0 0 281.088 0.403555 0.419795 0.484267
228000 282 0 0 285.137 0.404136 0.420703 0.484267
229000 284.22 0 0 284.22 0.404594 0.421388 0.484267
230000 281.728 0 0 281.728 0.405287 0.422485 0.484267
231000 279.753 0 0 279.753 0.405403 0.422557 0.484267
