[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.00012664 375891 9.12051 3.90864
0.000123962 404649 9.51997 4.48766
0.000101975 446782 8.58213 3.12352
7.20323e-005 545225 8.7956 3.5809
6.99603e-005 512334 7.80481 2.81482
0.000114167 433555 8.79311 3.61251
8.71437e-005 489823 8.57569 3.57779
8.82157e-005 570630 9.41181 4.2118
8.79918e-005 493887 8.40844 3.46449
8.49132e-005 460628 8.61004 3.16509
0.000108913 431423 8.7049 3.45385
0.000109056 414749 8.50503 2.99117
0.000134835 324430 8.49515 3.90545
0.000158577 332668 8.91656 3.79803
0.00013281 349643 8.42076 2.7295
0.000130209 310502 8.63953 3.55926
0.000219291 249336 9.4995 4.20263
0.000192323 262389 9.31682 4.02872
0.000163747 294957 9.37135 4.36429
0.000205094 258449 9.00908 3.50104
0.000136993 352081 8.92783 3.59575
0.000148935 302390 8.36849 2.89195
0.000132532 315136 8.24399 3.19501
0.000149645 316000 9.28065 4.11487
0.000201415 283820 9.42673 4.02318
0.000177311 318012 9.89653 4.23472
0.000144171 358654 9.25079 3.55942
0.000129536 360239 8.77789 3.29602
0.000180831 277884 9.05541 3.78634
0.000195764 245956 8.42723 3.38948
0.000195719 272640 9.11283 3.67264
0.000177702 280334 9.04347 3.59676
0.000164941 290938 8.97747 3.37203
0.000149879 321228 8.72023 3.72518
0.000111586 393700 8.40348 2.72952
0.000121336 388231 8.98839 3.75951
0.000124831 364382 8.5637 3.47098
0.000126752 361069 8.24419 3.36477
8.93518e-005 503333 8.34432 2.90405
8.63797e-005 468927 7.98076 2.50307
0.000105231 399574 8.76945 4.09569
0.000123667 390955 8.52305 3.57302
0.000119432 391308 8.19133 2.89881
0.000114757 385974 8.56843 3.21107
0.000133039 362836 8.78184 3.56642
0.000128723 371583 8.653 3.12151
0.000142438 352231 9.45174 3.75449
0.000196371 257702 8.84538 3.44521
0.000154645 323657 8.73913 3.35804
0.000138314 384306 8.71394 3.58397
0.000117463 324981 8.27757 2.85469
0.000109328 383331 8.50426 2.90947
0.000101259 397053 8.77528 3.56821
8.67017e-005 494868 9.2471 3.496
8.76577e-005 455269 8.16905 3.0582
0.000103129 475343 8.7094 3.89469
9.53856e-005 431479 8.79366 3.60518
0.000110322 378344 8.16555 3.80188
0.000100119 423350 8.68325 3.3925
8.36017e-005 483425 8.43328 2.91538
0.000103861 459811 8.46703 3.99372
7.83798e-005 464914 8.54836 3.03202
0.000125767 341706 8.02259 2.60465
0.000125764 339311 8.7801 3.54541
0.000125394 352870 8.63379 3.48713
0.000118041 379781 8.5402 3.27667
0.000132554 362749 8.5712 2.78721
0.000173965 269457 8.55303 3.10213
0.000164686 285516 8.07085 3.04917
0.000117978 375890 8.49961 3.17865
0.000119553 373852 9.2032 4.50084
0.000167332 309822 8.8123 3.71405
0.000170743 284216 8.75003 3.94532
0.000108832 366255 8.22684 3.00944
0.000120469 334150 8.28084 2.50092
0.000169953 310813 9.04303 3.59367
0.000180243 291343 8.64405 4.10714
0.000122148 343508 7.90027 3.11552
0.000102967 418484 9.70967 4.48016
0.000107334 467299 9.39225 3.90282
9.98818e-005 440704 8.4179 3.33599
7.90756e-005 465116 8.15777 3.31028
9.26784e-005 459499 8.56029 3.43001
9.21174e-005 490063 8.84883 3.21323
9.02516e-005 487431 8.30934 2.8434
7.14181e-005 509012 8.13324 2.82134
8.08095e-005 551343 8.53685 2.71202
7.87751e-005 522380 9.1249 4.22747
0.000101108 441510 7.99464 2.65815
8.9088e-005 439039 8.27162 2.87774
