[MCMC_objectives]
report.type: MCMC_objectives
Original covariance matrix:
1.44463e-009 -2.70643 5.46701e-006 2.68154e-006
-2.70643 5.55369e+009 -3958.16 -1056.6
5.46701e-006 -3958.16 0.207128 0.152459
2.68154e-006 -1056.6 0.152459 0.231983
Proposal distribution covariance matrix:
1e-006 -59.6185 0.000143837 7.05514e-005
-71.2064 5.55369e+009 -3958.16 -1056.6
0.000143837 -3958.16 0.207128 0.152459
7.05514e-005 -1056.6 0.152459 0.231983
Cholesky decomposition matrix:
0.001 0 0 0
-71206.4 21985.1 0 0
0.143837 0.285828 0.323638 0
0.0705514 0.180446 0.280359 0.340358
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt step_size
183000 283.908 0 0 283.908 0.204653 0.253097 0.0393308
183500 280.798 0 0 280.798 0.204739 0.253027 0.0393308
184000 280.009 0 0 280.009 0.20489 0.253178 0.0393308
184500 280.349 0 0 280.349 0.205001 0.253193 0.0393308
185000 283.842 0 0 283.842 0.20508 0.253107 0.0393308
185500 280.934 0 0 280.934 0.205189 0.253119 0.0393308
186000 279.853 0 0 279.853 0.205213 0.252853 0.0393308
186500 281.057 0 0 281.057 0.205296 0.252786 0.0393308
187000 280.235 0 0 280.235 0.205349 0.252624 0.0393308
187500 281.504 0 0 281.504 0.205374 0.252371 0.0393308
188000 284.129 0 0 284.129 0.205411 0.252163 0.0393308
188500 282.221 0 0 282.221 0.205517 0.252178 0.0393308
189000 281.13 0 0 281.13 0.205656 0.252303 0.0393308
189500 279.824 0 0 279.824 0.205779 0.252374 0.0393308
190000 281.434 0 0 281.434 0.205914 0.252485 0.0393308
190500 286.229 0 0 286.229 0.206038 0.252562 0.0393308
191000 280.926 0 0 280.926 0.206177 0.252686 0.0393308
191500 280.214 0 0 280.214 0.206318 0.252818 0.0393308
192000 280.325 0 0 280.325 0.206447 0.252913 0.0393308
192500 283.124 0 0 283.124 0.206556 0.252945 0.0393308
193000 280.793 0 0 280.793 0.206686 0.253045 0.0393308
193500 279.994 0 0 279.994 0.206797 0.253083 0.0393308
194000 281.537 0 0 281.537 0.206963 0.253296 0.0393308
194500 279.935 0 0 279.935 0.207099 0.253415 0.0393308
195000 280.106 0 0 280.106 0.207188 0.253391 0.0393308
195500 280.005 0 0 280.005 0.20726 0.253314 0.0393308
196000 282.135 0 0 282.135 0.207341 0.253267 0.0393308
196500 280.991 0 0 280.991 0.207425 0.253232 0.0393308
197000 280.654 0 0 280.654 0.207523 0.253241 0.0393308
197500 280.971 0 0 280.971 0.207665 0.253384 0.0393308
198000 283.998 0 0 283.998 0.207808 0.253527 0.0393308
198500 280.579 0 0 280.579 0.207971 0.253734 0.0393308
199000 281.427 0 0 281.427 0.208102 0.253842 0.0393308
199500 279.861 0 0 279.861 0.208192 0.253831 0.0393308
200000 280.908 0 0 280.908 0.208318 0.253928 0.0393308
200500 279.461 0 0 279.461 0.208511 0.254222 0.0393308
201000 281.934 0 0 281.934 0.208671 0.254422 0.0393308
