SPM (Spatial Population Model)
Call: spm -m -q -g 0 
Date: Thu Nov 19 22:42:33 2015
v1.1-2015-11-19 (rev. 1272). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=6480)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-009 -2.82829 6.40938e-006 3.33788e-006
-2.82829 5.83449e+009 -6405.04 -3098.07
6.40938e-006 -6405.04 0.211802 0.158556
3.33788e-006 -3098.07 0.158556 0.24515
Proposal distribution covariance matrix:
1e-006 -61.1071 0.000165705 8.6296e-005
-73.1213 5.83449e+009 -6405.04 -3098.07
0.000165705 -6405.04 0.211802 0.158556
8.6296e-005 -3098.07 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.086296 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
127500 280.703 0 0 309.756 0.223443 0.214691 0.0523105
128000 281.42 0 0 311.701 0.22343 0.214786 0.0523105
128500 280.151 0 0 280.151 0.223479 0.215158 0.0523105
129000 282.371 0 0 283.935 0.223527 0.215517 0.0523105
129500 282.735 0 0 290.458 0.223861 0.217119 0.0523105
130000 282.191 0 0 282.191 0.224108 0.2183 0.0523105
130500 282.239 0 0 284.634 0.22436 0.219475 0.0523105
131000 285.82 0 0 293.899 0.224725 0.221097 0.0523105
131500 281.086 0 0 282.324 0.224951 0.222095 0.0523105
132000 282.39 0 0 299.8 0.225114 0.222812 0.0523105
132500 283.735 0 0 283.735 0.225215 0.223262 0.0523105
133000 282.363 0 0 387.845 0.225406 0.224061 0.0523105
133500 280.006 0 0 281.015 0.225558 0.224687 0.0523105
134000 280.171 0 0 280.171 0.225687 0.225206 0.0523105
134500 283.326 0 0 297.22 0.225613 0.224928 0.0523105
135000 280.954 0 0 299.438 0.225844 0.225829 0.0523105
135500 280.533 0 0 304.905 0.225867 0.225915 0.0523105
136000 280.825 0 0 281.034 0.225801 0.225667 0.0523105
136500 281.934 0 0 290.186 0.225729 0.225397 0.0523105
137000 281.962 0 0 283.678 0.225723 0.225378 0.0523105
137500 280.326 0 0 288.303 0.225775 0.225573 0.0523105
138000 282.247 0 0 285.103 0.225732 0.225421 0.0523105
138500 282.282 0 0 282.282 0.226108 0.226779 0.0523105
139000 282.074 0 0 328.68 0.226209 0.227128 0.0523105
139500 280.701 0 0 282.15 0.226351 0.22762 0.0523105
140000 281.386 0 0 281.386 0.226457 0.227975 0.0523105
140500 280.246 0 0 301.099 0.226569 0.228346 0.0523105
141000 279.475 0 0 279.954 0.226504 0.228098 0.0523105
141500 279.562 0 0 279.562 0.226459 0.227928 0.0523105
142000 279.786 0 0 356.727 0.226408 0.227738 0.0523105
142500 280.053 0 0 743.061 0.226232 0.227129 0.0523105
143000 279.942 0 0 279.942 0.225972 0.226256 0.0523105
143500 281.805 0 0 376.21 0.225951 0.226184 0.0523105
144000 280.988 0 0 310.016 0.225806 0.225705 0.0523105
144500 280.234 0 0 280.234 0.225612 0.225079 0.0523105
145000 280.499 0 0 626.613 0.225428 0.224489 0.0523105
145500 280.767 0 0 288.25 0.225148 0.223604 0.0523105
146000 281.873 0 0 346.554 0.224986 0.223109 0.0523105
146500 282.699 0 0 287.816 0.224962 0.223054 0.0523105
147000 280.167 0 0 471.793 0.224959 0.223064 0.0523105
147500 281.76 0 0 285.898 0.224861 0.222779 0.0523105
148000 283.005 0 0 283.937 0.224797 0.222604 0.0523105
148500 279.628 0 0 281.154 0.224667 0.222227 0.0523105
149000 282.279 0 0 299.715 0.224644 0.222184 0.0523105
149500 280.583 0 0 329.346 0.224609 0.222101 0.0523105
150000 279.501 0 0 284.974 0.224607 0.22212 0.0523105
150500 281.333 0 0 293.826 0.224485 0.221782 0.0523105
151000 281.69 0 0 294.936 0.224225 0.221039 0.0523105
151500 282.483 0 0 290.447 0.224086 0.22066 0.0523105
152000 280.593 0 0 281.449 0.223928 0.220231 0.0523105
152500 280.996 0 0 280.996 0.223738 0.219714 0.0523105
153000 280.382 0 0 280.411 0.223706 0.21966 0.0523105
153500 280.5 0 0 304.84 0.223648 0.219533 0.0523105
154000 280.866 0 0 280.866 0.22361 0.219463 0.0523105
154500 281.465 0 0 281.465 0.223625 0.219541 0.0523105
155000 279.549 0 0 282.454 0.223639 0.219618 0.0523105
155500 280.295 0 0 288.057 0.223582 0.219495 0.0523105
156000 280.026 0 0 280.026 0.22359 0.219554 0.0523105
156500 279.633 0 0 281.029 0.223585 0.219575 0.0523105
157000 281.712 0 0 298.644 0.223694 0.219912 0.0523105
157500 281.742 0 0 303.746 0.223657 0.219843 0.0523105
158000 280.723 0 0 307.006 0.223449 0.21931 0.0523105
158500 280.402 0 0 280.402 0.22335 0.219077 0.0523105
159000 279.836 0 0 286.452 0.223283 0.218932 0.0523105
159500 282.993 0 0 922.867 0.22331 0.219042 0.0523105
160000 280.526 0 0 282.742 0.223331 0.219133 0.0523105
160500 282.828 0 0 557.632 0.223402 0.219355 0.0523105
161000 283.118 0 0 283.118 0.223354 0.219262 0.0523105
161500 286.339 0 0 286.339 0.223449 0.219545 0.0523105
162000 280.291 0 0 282.794 0.223457 0.219597 0.0523105
162500 280.093 0 0 281.719 0.223502 0.219744 0.0523105
163000 280.218 0 0 317.919 0.223448 0.219635 0.0523105
163500 281.996 0 0 351.38 0.223407 0.219559 0.0523105
164000 280.073 0 0 281.319 0.223274 0.21925 0.0523105
164500 280.107 0 0 280.107 0.223185 0.219054 0.0523105
165000 279.77 0 0 279.77 0.223194 0.219108 0.0523105
165500 280.763 0 0 283.494 0.223257 0.219298 0.0523105
166000 280.995 0 0 310.37 0.223373 0.219621 0.0523105
166500 280.627 0 0 299.246 0.223477 0.21991 0.0523105
167000 280.664 0 0 280.664 0.223587 0.220209 0.0523105
167500 282.628 0 0 283.985 0.223696 0.220504 0.0523105
168000 283.221 0 0 283.221 0.223845 0.220897 0.0523105
168500 283.884 0 0 283.884 0.224095 0.221533 0.0523105
169000 280.931 0 0 282.949 0.224325 0.222116 0.0523105
169500 280.67 0 0 281.789 0.224395 0.222302 0.0523105
170000 280.888 0 0 280.888 0.224347 0.2222 0.0523105
170500 280.282 0 0 280.282 0.224252 0.221986 0.0523105
171000 279.43 0 0 593.342 0.224158 0.221775 0.0523105
171500 279.482 0 0 397.16 0.224134 0.221734 0.0523105
172000 284.483 0 0 284.483 0.224163 0.221819 0.0523105
172500 280.801 0 0 298.273 0.224139 0.221779 0.0523105
173000 279.875 0 0 293.59 0.22415 0.221822 0.0523105
173500 280.157 0 0 430.628 0.223948 0.221361 0.0523105
174000 281.451 0 0 281.451 0.223902 0.22127 0.0523105
174500 281.886 0 0 285.817 0.223874 0.221221 0.0523105
175000 280.434 0 0 280.434 0.223794 0.221053 0.0523105
175500 279.421 0 0 282.074 0.223658 0.220755 0.0523105
176000 280.145 0 0 448.788 0.223608 0.220658 0.0523105
176500 280.728 0 0 393.375 0.223626 0.220719 0.0523105
177000 279.66 0 0 283.548 0.223605 0.220688 0.0523105
177500 279.399 0 0 373.75 0.223549 0.220581 0.0523105
178000 281.492 0 0 313.613 0.223427 0.220321 0.0523105
178500 280.886 0 0 283.208 0.22335 0.220166 0.0523105
179000 281.092 0 0 281.092 0.223279 0.220025 0.0523105
179500 279.929 0 0 292.432 0.223209 0.219887 0.0523105
180000 281.363 0 0 350.544 0.223211 0.219913 0.0523105
180500 283.973 0 0 285.693 0.223075 0.219627 0.0523105
181000 280.28 0 0 280.28 0.22295 0.21937 0.0523105
181500 279.699 0 0 803.233 0.222909 0.219301 0.0523105
182000 280.152 0 0 302.124 0.222764 0.219 0.0523105
182500 279.877 0 0 510.973 0.222647 0.218764 0.0523105
183000 280.965 0 0 292.166 0.222596 0.218675 0.0523105
183500 279.324 0 0 279.324 0.222441 0.218359 0.0523105
184000 280.25 0 0 317.031 0.222495 0.2185 0.0523105
184500 282.345 0 0 331.804 0.222482 0.218497 0.0523105
185000 279.696 0 0 279.696 0.222432 0.218412 0.0523105
185500 280.054 0 0 282.275 0.222426 0.218421 0.0523105
186000 280.094 0 0 289.207 0.222403 0.218395 0.0523105
186500 281.343 0 0 291.877 0.222493 0.218613 0.0523105
187000 279.661 0 0 351.54 0.222535 0.218724 0.0523105
187500 280.982 0 0 322.003 0.222523 0.21872 0.0523105
188000 283.056 0 0 283.056 0.222473 0.218636 0.0523105
188500 279.666 0 0 1199.19 0.222456 0.218621 0.0523105
189000 280.945 0 0 283.309 0.222317 0.218348 0.0523105
189500 281.633 0 0 293.924 0.222195 0.218112 0.0523105
190000 280.532 0 0 287.882 0.222268 0.218289 0.0523105
190500 280.074 0 0 283.707 0.222257 0.218287 0.0523105
191000 280.332 0 0 282.31 0.222236 0.218264 0.0523105
191500 280.526 0 0 283.099 0.222183 0.218175 0.0523105
192000 281.428 0 0 292.404 0.222161 0.218152 0.0523105
192500 283.493 0 0 360.634 0.222042 0.217924 0.0523105
193000 280.264 0 0 329.648 0.222062 0.217989 0.0523105
193500 280.469 0 0 282.96 0.222072 0.218032 0.0523105
194000 280.966 0 0 280.966 0.222088 0.218085 0.0523105
194500 280.067 0 0 282.916 0.222005 0.217937 0.0523105
195000 280.071 0 0 280.071 0.221974 0.217895 0.0523105
195500 280.288 0 0 287.837 0.221877 0.217717 0.0523105
196000 280.051 0 0 283.638 0.221883 0.21775 0.0523105
196500 280.603 0 0 319.594 0.221873 0.217751 0.0523105
197000 280.622 0 0 324.534 0.221863 0.217753 0.0523105
