SPM (Spatial Population Model)
Call: spm -p -q -g 0 -o profile.dat 
Date: Sun Aug 19 08:57:15 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=7804)

[mature-2002]
report.type: observation
observation.label: mature-2002
observation.year: 2002
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r3-c6 12 0.990005 0.288932 0.701073 0.229489 0 0.229489 0.282122
r3-c6 13 0.683172 0.344009 0.339162 0.618187 0 0.618187 0.438498
r3-c6 14 0.744142 0.404105 0.340037 1.54448 0 1.54448 0.880299
r3-c6 15 0.757775 0.467556 0.290219 1.09076 0 1.09076 0.589276
r3-c6 16 0.876883 0.532128 0.344755 1.31494 0 1.31494 0.685783
r3-c6 17 0.881144 0.595428 0.285716 1.73138 0 1.73138 0.732976
r3-c6 18 0.89346 0.655358 0.238103 1.95837 0 1.95837 0.693736
r3-c6 19 0.908109 0.710386 0.197723 1.09478 0 1.09478 0.369133
r3-c6 20 0.842314 0.759601 0.0827129 0.699095 0 0.699095 0.24697
r3-c6 21 0.952232 0.802627 0.149604 0.814198 0 0.814198 0.201412
r3-c6 22 0.829058 0.839507 -0.0104482 1.13967 0 1.13967 0.350365
r3-c6 23 0.939742 0.870578 0.069164 1.11856 0 1.11856 0.216133
r3-c6 24 0.788594 0.89637 -0.107776 0.521057 0 0.521057 0.24015
r3-c6 25 0.929236 0.917513 0.0117227 0.687886 0 0.687886 0.141571
r3-c6 26 0.982195 0.934662 0.0475332 0.288998 0 0.288998 0.03122
r3-c6 27 0.869788 0.948451 -0.0786637 0.599923 0 0.599923 0.211835
r3-c6 28 0.959163 0.95946 -0.000297384 0.370115 0 0.370115 0.0561214
r3-c6 29 0.995687 0.9682 0.0274873 0.175447 0 0.175447 0.00806129
r3-c6 30 0.789147 1 -0.210853 0.999907 0 0.999907 5.32368
r4-c5 1 0 0 0 0 0 0 -0
r4-c5 2 0 0 0 0 0 0 -0
r4-c5 3 0 0 0 0 0 0 -0
r4-c5 4 0 0 0 0 0 0 -0
r4-c5 5 0 0.0759774 -0.0759774 0 0 0 -0
r4-c5 6 0 0.268718 -0.268718 0 0 0 -0
r4-c5 7 0 0.299143 -0.299143 0 0 0 -0
r4-c5 8 0 0.348825 -0.348825 0 0 0 -0
r4-c5 9 0 0.408585 -0.408585 0 0 0 -0
r4-c5 10 0 0.47291 -0.47291 0 0 0 -0
r4-c5 11 0 0.539171 -0.539171 0 0 0 -0
r4-c5 12 1 0.605089 0.394911 0.241237 0 0.241237 0.121193
r4-c5 13 1 0.668382 0.331618 0.298279 0 0.298279 0.120176
r4-c5 14 1 0.726895 0.273105 0.929913 0 0.929913 0.296618
r4-c5 15 1 0.778915 0.221085 0.83249 0 0.83249 0.208
r4-c5 16 1 0.82348 0.17652 1.45509 0 1.45509 0.282602
r4-c5 17 1 0.860478 0.139522 1.22367 0 1.22367 0.183877
r4-c5 18 1 0.890475 0.109525 0.910495 0 0.910495 0.105617
r4-c5 19 1 0.914407 0.0855926 0.547885 0 0.547885 0.0490242
r4-c5 20 1 0.933302 0.0666976 0.779005 0 0.779005 0.0537716
r4-c5 21 1 0.948121 0.0518789 1.04123 0 1.04123 0.0554696
r4-c5 22 1 0.959693 0.0403069 0.94996 0 0.94996 0.039083
r4-c5 23 1 0.968704 0.0312955 0.459015 0 0.459015 0.0145947
r4-c5 24 1 0.975709 0.0242908 1.12933 0 1.12933 0.027771
r4-c5 25 1 0.981148 0.0188518 1.27677 0 1.27677 0.0242992
r4-c5 26 1 0.985369 0.0146309 0.531241 0 0.531241 0.00782996
r4-c5 27 1 0.988644 0.0113562 0.392094 0 0.392094 0.00447817
r4-c5 28 1 0.991184 0.00881562 0.694444 0 0.694444 0.0061491
r4-c5 29 1 0.993156 0.00684442 0.230917 0 0.230917 0.00158593
r4-c5 30 1 1 0 0.330295 0 0.330295 -0
r4-c6 1 0 0 0 0 0 0 -0
r4-c6 2 0 0 0 0 0 0 -0
r4-c6 3 0 0 0 0 0 0 -0
r4-c6 4 0 0 0 0 0 0 -0
r4-c6 5 0 0.0759774 -0.0759774 0 0 0 -0
