SPM (Spatial Population Model)
Call: spm -e 
Date: Thu Nov 20 11:00:48 2014
v1.1-2014-10-19 (rev. 1221). Copyright (c) 2008-2014, NIWA
User name: marshcrai
Machine name: KK-404-01-C (Windows_NT, PID=3956)

[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 60
lambda: 1e-010
lambda_hat: 0.00917615 0.000165044 3.02189e-006 5.53476e-008 1.01373e-009 1.85672e-011
lambda_years: 10 20 30 40 50 60
row column category age[1]
21 21 stock 1.20905e-011
21 22 stock 1.20905e-011
21 23 stock 1.20905e-011
21 24 stock 1.20905e-011
21 25 stock 1.20905e-011
21 26 stock 1.20905e-011
21 27 stock 1.20905e-011
21 28 stock 1.20905e-011
21 29 stock 1.20905e-011
21 30 stock 1.20905e-011
21 31 stock 1.20905e-011
22 1 stock 1.20905e-011
22 2 stock 1.20905e-011
22 3 stock 1.20905e-011
22 4 stock 1.20905e-011
22 5 stock 1.20905e-011
22 6 stock 1.20905e-011
22 7 stock 1.20905e-011
22 8 stock 1.20905e-011
22 9 stock 1.20905e-011
22 10 stock 1.20905e-011
22 11 stock 1.20905e-011
22 12 stock 1.20905e-011
22 13 stock 1.20905e-011
22 14 stock 1.20905e-011
22 15 stock 1.20905e-011
22 16 stock 1.20905e-011
22 17 stock 1.20905e-011
22 18 stock 1.20905e-011
22 19 stock 1.20905e-011
22 20 stock 1.20905e-011
22 21 stock 1.20905e-011
22 22 stock 1.20905e-011
22 23 stock 1.20905e-011
22 24 stock 1.20905e-011
22 25 stock 1.20905e-011
22 26 stock 1.20905e-011
22 27 stock 1.20905e-011
22 28 stock 1.20905e-011
22 29 stock 1.20905e-011
22 30 stock 1.20905e-011
22 31 stock 1.20905e-011
23 1 stock 1.20905e-011
23 2 stock 1.20905e-011
23 3 stock 1.20905e-011
23 4 stock 1.20905e-011
23 5 stock 1.20905e-011
23 6 stock 1.20905e-011
23 7 stock 1.20905e-011
23 8 stock 1.20905e-011
23 9 stock 1.20905e-011
23 10 stock 1.20905e-011
23 11 stock 1.20905e-011
23 12 stock 1.20905e-011
23 13 stock 1.20905e-011
23 14 stock 1.20905e-011
23 15 stock 1.20905e-011
23 16 stock 1.20905e-011
23 17 stock 1.20905e-011
23 18 stock 1.20905e-011
23 19 stock 1.20905e-011
23 20 stock 1.20905e-011
23 21 stock 1.20905e-011
23 22 stock 1.20905e-011
23 23 stock 1.20905e-011
23 24 stock 1.20905e-011
23 25 stock 1.20905e-011
23 26 stock 1.20905e-011
23 27 stock 1.20905e-011
23 28 stock 1.20905e-011
23 29 stock 1.20905e-011
23 30 stock 1.20905e-011
23 31 stock 1.20905e-011
24 1 stock 1.20905e-011
24 2 stock 1.20905e-011
24 3 stock 1.20905e-011
24 4 stock 1.20905e-011
24 5 stock 1.20905e-011
24 6 stock 1.20905e-011
24 7 stock 1.20905e-011
24 8 stock 1.20905e-011
24 9 stock 1.20905e-011
24 10 stock 1.20905e-011
24 11 stock 1.20905e-011
24 12 stock 1.20905e-011
24 13 stock 1.20905e-011
24 14 stock 1.20905e-011
24 15 stock 1.20905e-011
24 16 stock 1.20905e-011
24 17 stock 1.20905e-011
24 18 stock 1.20905e-011
24 19 stock 1.20905e-011
24 20 stock 1.20905e-011
24 21 stock 1.20905e-011
24 22 stock 1.20905e-011
24 23 stock 1.20905e-011
24 24 stock 1.20905e-011
24 25 stock 1.20905e-011
24 26 stock 1.20905e-011
24 27 stock 1.20905e-011
24 28 stock 1.20905e-011
24 29 stock 1.20905e-011
24 30 stock 1.20905e-011
24 31 stock 1.20905e-011
25 1 stock 1.20905e-011
25 2 stock 1.20905e-011
25 3 stock 1.20905e-011
25 4 stock 1.20905e-011
25 5 stock 1.20905e-011
25 6 stock 1.20905e-011
25 7 stock 1.20905e-011
25 8 stock 1.20905e-011
25 9 stock 1.20905e-011
25 10 stock 1.20905e-011
25 11 stock 1.20905e-011
25 12 stock 1.20905e-011
25 13 stock 1.20905e-011
25 14 stock 1.20905e-011
25 15 stock 1.20905e-011
25 16 stock 1.20905e-011
25 17 stock 1.20905e-011
25 18 stock 1.20905e-011
25 19 stock 1.20905e-011
25 20 stock 1.20905e-011
25 21 stock 1.20905e-011
25 22 stock 1.20905e-011
25 23 stock 1.20905e-011
25 24 stock 1.20905e-011
25 25 stock 1.20905e-011
25 26 stock 1.20905e-011
25 27 stock 1.20905e-011
25 28 stock 1.20905e-011
25 29 stock 1.20905e-011
25 30 stock 1.20905e-011
25 31 stock 1.20905e-011
26 1 stock 1.20905e-011
26 2 stock 1.20905e-011
26 3 stock 1.20905e-011
26 4 stock 1.20905e-011
26 5 stock 1.20905e-011
26 6 stock 1.20905e-011
26 7 stock 1.20905e-011
26 8 stock 1.20905e-011
26 9 stock 1.20905e-011
26 10 stock 1.20905e-011
26 11 stock 1.20905e-011
26 12 stock 1.20905e-011
26 13 stock 1.20905e-011
26 14 stock 1.20905e-011
26 15 stock 1.20905e-011
26 16 stock 1.20905e-011
26 17 stock 1.20905e-011
26 18 stock 1.20905e-011
26 19 stock 1.20905e-011
26 20 stock 1.20905e-011
26 21 stock 1.20905e-011
26 22 stock 1.20905e-011
26 23 stock 1.20905e-011
26 24 stock 1.20905e-011
26 25 stock 1.20905e-011
26 26 stock 1.20905e-011
26 27 stock 1.20905e-011
26 28 stock 1.20905e-011
26 29 stock 1.20905e-011
26 30 stock 1.20905e-011
26 31 stock 1.20905e-011
*end

[state-1]
report.type: partition
year: 2002
time_step: one
row column category age[1]
1 1 stock 2171.29
1 2 stock 2884.84
1 3 stock 3600.57
1 4 stock 4193.59
1 5 stock 4567.34
1 6 stock 4904.19
1 7 stock 5146.01
1 8 stock 5354.74
1 9 stock 5081.46
1 10 stock 5175.97
1 11 stock 5350.15
1 12 stock 5432.43
1 13 stock 5094.46
1 14 stock 4905.34
1 15 stock 4614.02
1 16 stock 4415.79
1 17 stock 4326.79
1 18 stock 4539.61
1 19 stock 4933.82
1 20 stock 5247.78
1 21 stock 5307.9
1 22 stock 5115.48
1 23 stock 4760.59
1 24 stock 4478.89
1 25 stock 4397.27
1 26 stock 4451.79
1 27 stock 4468.77
1 28 stock 4441.42
1 29 stock 4423.31
1 30 stock 4141.44
1 31 stock 3762.29
2 1 stock 3207.73
2 2 stock 4185.72
2 3 stock 5214.19
2 4 stock 6095.34
2 5 stock 6625.01
2 6 stock 7026.18
2 7 stock 7290.53
2 8 stock 7501.14
